# started 2026-08-15T18:43:38Z on ip-172-31-9-237
# time load procs threads fd_used fd_max conntrack ct_max mem_avail_mb tcp_estab tcp_tw sshd
2026-08-15T19:14:41Z 3.28 179 319 1343 9223372036854775807 538 1048576 14722 1 188 1
2026-08-15T19:14:47Z 3.02 200 344 1601 9223372036854775807 588 1048576 14698 81 189 1
2026-08-15T19:14:52Z 2.94 203 347 1628 9223372036854775807 593 1048576 14688 82 159 3
2026-08-15T19:14:57Z 2.86 180 320 1343 9223372036854775807 602 1048576 14723 1 158 1
2026-08-15T19:15:02Z 2.63 182 333 1363 9223372036854775807 605 1048576 14722 1 158 1
2026-08-15T19:15:07Z 2.42 201 361 1583 9223372036854775807 421 1048576 14658 81 155 1
2026-08-15T19:15:12Z 3.51 200 360 1583 9223372036854775807 421 1048576 14646 81 155 1
2026-08-15T19:15:17Z 4.99 203 347 1684 9223372036854775807 458 1048576 14615 61 183 1
2026-08-15T19:15:22Z 4.59 203 347 1684 9223372036854775807 458 1048576 14620 61 183 1
2026-08-15T19:15:27Z 4.22 206 354 1760 9223372036854775807 475 1048576 14598 93 184 1
2026-08-15T19:15:32Z 4.52 206 354 1760 9223372036854775807 475 1048576 14599 93 131 1
2026-08-15T19:15:37Z 4.32 181 321 1383 9223372036854775807 479 1048576 14718 1 183 1
2026-08-15T19:15:42Z 3.98 201 345 1651 9223372036854775807 528 1048576 14692 79 184 3
2026-08-15T19:15:47Z 3.82 201 345 1651 9223372036854775807 541 1048576 14695 79 155 3
2026-08-15T19:15:52Z 3.51 181 321 1383 9223372036854775807 547 1048576 14722 1 184 1
2026-08-15T19:15:57Z 3.47 200 344 1603 9223372036854775807 593 1048576 14703 81 185 1
2026-08-15T19:16:02Z 3.43 200 344 1603 9223372036854775807 593 1048576 14702 81 153 1
2026-08-15T19:16:07Z 3.16 181 333 1367 9223372036854775807 596 1048576 14726 1 153 1
2026-08-15T19:16:12Z 4.19 200 360 1587 9223372036854775807 431 1048576 14674 81 186 1
2026-08-15T19:16:17Z 4.81 200 360 1580 9223372036854775807 431 1048576 14640 81 156 1
2026-08-15T19:16:22Z 4.43 179 319 1341 9223372036854775807 432 1048576 14678 1 189 1
2026-08-15T19:16:27Z 4.07 203 347 1682 9223372036854775807 474 1048576 14612 61 188 1
2026-08-15T19:16:32Z 3.91 206 354 1758 9223372036854775807 491 1048576 14602 93 189 1
2026-08-15T19:16:37Z 3.99 212 360 1847 9223372036854775807 496 1048576 14572 94 140 2
2026-08-15T19:16:43Z 3.67 181 321 1370 9223372036854775807 504 1048576 14681 2 194 3
2026-08-15T19:16:48Z 3.46 200 344 1632 9223372036854775807 559 1048576 14681 81 196 1
2026-08-15T19:16:53Z 3.34 199 343 1631 9223372036854775807 561 1048576 14684 81 163 1
2026-08-15T19:16:58Z 3.23 178 318 1343 9223372036854775807 563 1048576 14721 1 194 1
2026-08-15T19:17:03Z 2.97 180 320 1381 9223372036854775807 565 1048576 14722 1 194 1
2026-08-15T19:17:08Z 2.90 199 343 1601 9223372036854775807 614 1048576 14702 81 163 1
2026-08-15T19:17:13Z 2.82 199 343 1601 9223372036854775807 383 1048576 14699 81 163 1
2026-08-15T19:17:18Z 2.60 179 319 1365 9223372036854775807 385 1048576 14722 1 162 1
2026-08-15T19:17:23Z 2.47 182 326 1787 9223372036854775807 588 1048576 14711 201 133 1
2026-08-15T19:17:28Z 2.35 182 326 1745 9223372036854775807 589 1048576 14707 201 133 1
2026-08-15T19:17:33Z 2.32 184 328 2037 9223372036854775807 693 1048576 14703 202 137 3
2026-08-15T19:17:38Z 2.22 184 328 1749 9223372036854775807 703 1048576 14706 202 143 3
2026-08-15T19:17:43Z 2.12 183 327 1823 9223372036854775807 805 1048576 14709 201 88 1
2026-08-15T19:17:48Z 2.03 183 327 1799 9223372036854775807 805 1048576 14710 201 84 1
2026-08-15T19:17:53Z 1.95 183 327 1751 9223372036854775807 904 1048576 14709 201 84 1
2026-08-15T19:17:58Z 1.87 183 327 1703 9223372036854775807 906 1048576 14710 201 84 1
2026-08-15T19:18:03Z 1.88 183 327 1703 9223372036854775807 1006 1048576 14710 201 53 1
2026-08-15T19:18:08Z 1.89 183 327 1703 9223372036854775807 1006 1048576 14711 201 52 1
2026-08-15T19:18:13Z 1.90 179 319 1345 9223372036854775807 386 1048576 14725 1 55 1
2026-08-15T19:18:18Z 1.75 181 321 1378 9223372036854775807 390 1048576 14721 1 23 1
2026-08-15T19:18:23Z 1.77 186 330 1768 9223372036854775807 567 1048576 14704 202 26 3
2026-08-15T19:18:28Z 1.79 185 329 1811 9223372036854775807 570 1048576 14702 202 29 3
2026-08-15T19:18:33Z 1.80 183 327 1767 9223372036854775807 680 1048576 14707 201 35 1
2026-08-15T19:18:38Z 1.82 183 327 1767 9223372036854775807 680 1048576 14706 201 28 1
2026-08-15T19:18:43Z 1.91 182 326 1773 9223372036854775807 779 1048576 14707 201 27 1
2026-08-15T19:18:48Z 2.00 182 326 1773 9223372036854775807 780 1048576 14705 201 25 1
2026-08-15T19:18:54Z 1.92 182 326 1773 9223372036854775807 881 1048576 14702 201 28 1
2026-08-15T19:18:59Z 1.93 182 326 1773 9223372036854775807 882 1048576 14703 201 27 1
2026-08-15T19:19:04Z 1.93 180 324 1773 9223372036854775807 985 1048576 14702 201 29 1
2026-08-15T19:19:09Z 2.10 180 324 1773 9223372036854775807 985 1048576 14703 201 28 1
2026-08-15T19:19:14Z 2.17 175 315 1341 9223372036854775807 189 1048576 14728 1 30 1
2026-08-15T19:19:19Z 2.00 179 327 1587 9223372036854775807 294 1048576 14722 202 29 3
2026-08-15T19:19:24Z 2.16 182 331 1590 9223372036854775807 406 1048576 14718 202 39 3
2026-08-15T19:19:29Z 2.23 180 329 1563 9223372036854775807 409 1048576 14718 201 31 1
